from,to,cost
fx1z2,fx1z5,3
fx1z2,fx4z2,3
fx1z5,fx1z2,3
fx1z5,fx1z8,3
fx1z5,fx4z5,3
fx1z8,fx1z5,3
fx1z8,fx1z11,3
fx1z8,fx4z8,3
fx1z11,fx1z8,3
fx1z11,fx1z14,3
fx1z11,fx4z11,3
fx1z14,fx1z11,3
fx1z14,fx1z17,3
fx1z14,fx4z14,3
fx1z17,fx1z14,3
fx1z17,fx1z20,3
fx1z17,fx4z17,3
fx1z20,fx1z17,3
fx1z20,fx1z23,3
fx1z20,fx4z20,3
fx1z23,fx1z20,3
fx1z23,fx1z26,3
fx1z23,fx4z23,3
fx1z26,fx1z23,3
fx1z26,fx1z29,3
fx1z26,fx4z26,3
fx1z29,fx1z26,3
fx1z29,fx1z32,3
fx1z29,fx4z29,3
fx1z32,fx1z29,3
fx1z32,fx1z35,3
fx1z32,fx4z32,3
fx1z35,fx1z32,3
fx1z35,fx1z38,3
fx1z35,fx4z35,3
fx1z38,fx1z35,3
fx1z38,fx1z41,3
fx1z38,fx4z38,3
fx1z41,fx1z38,3
fx1z41,fx1z44,3
fx1z41,fx4z41,3
fx1z44,fx1z41,3
fx1z44,fx1z47,3
fx1z44,fx4z44,3
fx1z47,fx1z44,3
fx1z47,fx1z50,3
fx1z47,fx4z47,3
fx1z50,fx1z47,3
fx1z50,fx4z50,3
fx4z2,fx1z2,3
fx4z2,fx4z5,3
fx4z2,fx7z2,3
fx4z5,fx1z5,3
fx4z5,fx4z2,3
fx4z5,fx4z8,3
fx4z5,fx7z5,3
fx4z8,fx1z8,3
fx4z8,fx4z5,3
fx4z8,fx4z11,3
fx4z8,fx7z8,3
fx4z11,fx1z11,3
fx4z11,fx4z8,3
fx4z11,fx4z14,3
fx4z11,fx7z11,3
fx4z14,fx1z14,3
fx4z14,fx4z11,3
fx4z14,fx4z17,3
fx4z14,fx7z14,3
fx4z17,fx1z17,3
fx4z17,fx4z14,3
fx4z17,fx4z20,3
fx4z17,fx7z17,3
fx4z20,fx1z20,3
fx4z20,fx4z17,3
fx4z20,fx4z23,3
fx4z20,fx7z20,3
