sensor_id,latitude,longitude
fx1z2,2.5,3.5
fx1z5,2.5,6.5
fx1z8,2.5,9.5
fx1z11,2.5,12.5
fx1z14,2.5,15.5
fx1z17,2.5,18.5
fx1z20,2.5,21.5
fx1z23,2.5,24.5
fx1z26,2.5,27.5
fx1z29,2.5,30.5
fx1z32,2.5,33.5
fx1z35,2.5,36.5
fx1z38,2.5,39.5
fx1z41,2.5,42.5
fx1z44,2.5,45.5
fx1z47,2.5,48.5
fx1z50,2.5,51.5
fx4z2,5.5,3.5
fx4z5,5.5,6.5
fx4z8,5.5,9.5
fx4z11,5.5,12.5
fx4z14,5.5,15.5
fx4z17,5.5,18.5
fx4z20,5.5,21.5
fx4z23,5.5,24.5
fx4z26,5.5,27.5
fx4z29,5.5,30.5
fx4z32,5.5,33.5
fx4z35,5.5,36.5
fx4z38,5.5,39.5
fx4z41,5.5,42.5
fx4z44,5.5,45.5
fx4z47,5.5,48.5
fx4z50,5.5,51.5
fx7z2,8.5,3.5
fx7z5,8.5,6.5
fx7z8,8.5,9.5
fx7z11,8.5,12.5
fx7z14,8.5,15.5
fx7z17,8.5,18.5
fx7z20,8.5,21.5
fx7z23,8.5,24.5
fx7z26,8.5,27.5
fx7z29,8.5,30.5
fx7z32,8.5,33.5
fx7z35,8.5,36.5
fx7z38,8.5,39.5
fx7z41,8.5,42.5
fx7z44,8.5,45.5
fx7z47,8.5,48.5
fx7z50,8.5,51.5
fx10z2,11.5,3.5
fx10z5,11.5,6.5
fx10z8,11.5,9.5
fx10z11,11.5,12.5
fx10z14,11.5,15.5
fx10z17,11.5,18.5
fx10z20,11.5,21.5
fx10z23,11.5,24.5
fx10z26,11.5,27.5
fx10z29,11.5,30.5
fx10z32,11.5,33.5
fx10z35,11.5,36.5
fx10z38,11.5,39.5
fx10z41,11.5,42.5
fx10z44,11.5,45.5
fx10z47,11.5,48.5
fx10z50,11.5,51.5
fx13z2,14.5,3.5
fx13z5,14.5,6.5
fx13z8,14.5,9.5
fx13z11,14.5,12.5
fx13z14,14.5,15.5
fx13z17,14.5,18.5
fx13z20,14.5,21.5
fx13z23,14.5,24.5
fx13z26,14.5,27.5
fx13z29,14.5,30.5
fx13z32,14.5,33.5
fx13z35,14.5,36.5
fx13z38,14.5,39.5
fx13z41,14.5,42.5
fx13z44,14.5,45.5
fx13z47,14.5,48.5
fx13z50,14.5,51.5
fx16z2,17.5,3.5
fx16z5,17.5,6.5
fx16z8,17.5,9.5
fx16z11,17.5,12.5
fx16z14,17.5,15.5
fx16z17,17.5,18.5
fx16z20,17.5,21.5
fx16z23,17.5,24.5
fx16z26,17.5,27.5
fx16z29,17.5,30.5
fx16z32,17.5,33.5
fx16z35,17.5,36.5
fx16z38,17.5,39.5
fx16z41,17.5,42.5
fx16z44,17.5,45.5
fx16z47,17.5,48.5
fx16z50,17.5,51.5
fx19z2,20.5,3.5
fx19z5,20.5,6.5
fx19z8,20.5,9.5
fx19z11,20.5,12.5
fx19z14,20.5,15.5
fx19z17,20.5,18.5
fx19z20,20.5,21.5
fx19z23,20.5,24.5
fx19z26,20.5,27.5
fx19z29,20.5,30.5
fx19z32,20.5,33.5
fx19z35,20.5,36.5
fx19z38,20.5,39.5
fx19z41,20.5,42.5
fx19z44,20.5,45.5
fx19z47,20.5,48.5
fx19z50,20.5,51.5
fx22z2,23.5,3.5
fx22z5,23.5,6.5
fx22z8,23.5,9.5
fx22z11,23.5,12.5
fx22z14,23.5,15.5
fx22z17,23.5,18.5
fx22z20,23.5,21.5
fx22z23,23.5,24.5
fx22z26,23.5,27.5
fx22z29,23.5,30.5
fx22z32,23.5,33.5
fx22z35,23.5,36.5
fx22z38,23.5,39.5
fx22z41,23.5,42.5
fx22z44,23.5,45.5
fx22z47,23.5,48.5
fx22z50,23.5,51.5
fx25z2,26.5,3.5
fx25z5,26.5,6.5
fx25z8,26.5,9.5
fx25z11,26.5,12.5
fx25z14,26.5,15.5
fx25z17,26.5,18.5
fx25z20,26.5,21.5
fx25z23,26.5,24.5
fx25z26,26.5,27.5
fx25z29,26.5,30.5
fx25z32,26.5,33.5
fx25z35,26.5,36.5
fx25z38,26.5,39.5
fx25z41,26.5,42.5
fx25z44,26.5,45.5
fx25z47,26.5,48.5
fx25z50,26.5,51.5
fx28z2,29.5,3.5
fx28z5,29.5,6.5
fx28z8,29.5,9.5
fx28z11,29.5,12.5
fx28z14,29.5,15.5
fx28z17,29.5,18.5
fx28z20,29.5,21.5
fx28z23,29.5,24.5
fx28z26,29.5,27.5
fx28z29,29.5,30.5
fx28z32,29.5,33.5
fx28z35,29.5,36.5
fx28z38,29.5,39.5
fx28z41,29.5,42.5
fx28z44,29.5,45.5
fx28z47,29.5,48.5
