sensor_id,latitude,longitude
s0_CHL,25,9
s0_CH,25,31
s0_LH,5,20
s0_RH,45,20
s0_E1,31,9
s0_E2,31,6
s0_MR,14,11
s0_WR,14,6
s0_J,20,19
s0_201,11,23
s0_203,11,29
s0_205,11,35
s0_207,11,42
s0_208,20,31
s0_210,20,43
s0_209,33,21
s0_211,33,27
s0_213,33,34
s0_215,33,42
s0_216,39,25
s0_218,39,35
s0_220,39,42
fh_i1,112,135
fh_i2,112,157
fh_i3,112,171
fh_i4,139,135
fh_i5,139,157
fh_i6,139,171
fh_l1,112,125
fh_l2,112,146
fh_l3,112,164
fh_r1,139,117.5
fh_r2_0,139,142
fh_r2_1,139,150
fh_r3,139,164
fh_r4,139,177.5
fh_m1,125.5,135
fh_m2,125.5,157
fh_m3,125.5,171
fh_n01,106,118
fh_n02,105.5,123.5
fh_n03,105.5,130
fh_n04,105.5,143
fh_n05,105.5,159
fh_n06,109.5,174.5
fh_n07,109.5,186.5
fh_n08,125.5,123.5
fh_n09,116.5,141
fh_n10,123,141
fh_n11,132,141
fh_n12,120,150
fh_n13,131,150
fh_n14,125.5,164
fh_n15,123,178
fh_n16,132,178
fh_n17,146,106
fh_n18,146,115
fh_n19,146,124
fh_n20,146,133
fh_n21,146,142
fh_n22,146,151
fh_n23,146,160
fh_n24,146,169
fh_n25,146,178
