from,to,cost
s0_CHL,s0_E1,3.0
s0_CHL,s0_E2,1.5
s0_CHL,s0_MR,4.5
s0_CHL,s0_WR,7.0
s0_CHL,s0_LH,4.5
s0_CHL,s0_RH,15.5
s0_CHL,s0_CH,11.0
s0_CH,s0_208,2.5
s0_CH,s0_210,3.5
s0_CH,s0_209,1.0
s0_CH,s0_211,2.0
s0_CH,s0_215,9.5
s0_CH,s0_LH,15.5
s0_CH,s0_RH,4.5
s0_CH,s0_CHL,11.0
s0_LH,s0_J,7.0
s0_LH,s0_201,4.5
s0_LH,s0_205,10.5
s0_LH,s0_207,14.0
s0_LH,s0_CHL,4.5
s0_LH,s0_CH,15.5
s0_LH,s0_RH,20.0
s0_RH,s0_216,0.5
s0_RH,s0_218,4.5
s0_RH,s0_220,8.0
s0_RH,s0_CHL,15.5
s0_RH,s0_CH,4.5
s0_RH,s0_LH,20.0
s0_E1,s0_CHL,3.0
s0_E2,s0_CHL,1.5
s0_MR,s0_CHL,4.5
s0_WR,s0_CHL,7.0
s0_J,s0_LH,7.0
s0_201,s0_LH,4.5
s0_201,s0_203,3.0
s0_203,s0_208,5.5
s0_205,s0_LH,10.5
s0_207,s0_LH,14.0
s0_207,s0_210,5.0
s0_208,s0_CH,2.5
s0_208,s0_203,5.5
s0_210,s0_CH,3.5
s0_210,s0_207,5.0
s0_209,s0_CH,1.0
s0_209,s0_216,5.0
s0_211,s0_CH,2.0
s0_211,s0_213,3.5
s0_213,s0_211,3.5
s0_213,s0_218,3.5
s0_215,s0_CH,9.5
s0_216,s0_RH,0.5
s0_216,s0_209,5.0
s0_218,s0_RH,4.5
s0_218,s0_213,3.5
s0_220,s0_RH,8.0
fm_i1,fm_l1,10.0
fm_l1,fm_i1,10.0
fm_i1,fm_n04,14.5
fm_n04,fm_i1,14.5
fm_i1,fm_m1,13.5
fm_m1,fm_i1,13.5
fm_i2,fm_l3,7.0
fm_l3,fm_i2,7.0
fm_i2,fm_m2,13.5
fm_m2,fm_i2,13.5
fm_i3,fm_l3,7.0
fm_l3,fm_i3,7.0
fm_i4,fm_m1,13.5
fm_m1,fm_i4,13.5
fm_i4,fm_r1,17.5
fm_r1,fm_i4,17.5
fm_i5,fm_m2,13.5
fm_m2,fm_i5,13.5
fm_i5,fm_n23,10.0
fm_n23,fm_i5,10.0
fm_i5,fm_r3,7.0
fm_r3,fm_i5,7.0
fm_i6,fm_r3,7.0
fm_r3,fm_i6,7.0
fm_i6,fm_r4,6.5
fm_r4,fm_i6,6.5
fm_l1,fm_n01,13.0
fm_n01,fm_l1,13.0
fm_l1,fm_n02,8.0
fm_n02,fm_l1,8.0
fm_l1,fm_n03,11.5
fm_n03,fm_l1,11.5
fm_l3,fm_n06,13.0
fm_n06,fm_l3,13.0
fm_m1,fm_n10,8.5
fm_n10,fm_m1,8.5
fm_m1,fm_n11,12.5
fm_n11,fm_m1,12.5
fm_m2,fm_n12,12.5
fm_n12,fm_m2,12.5
fm_m2,fm_n13,12.5
fm_n13,fm_m2,12.5
fm_m2,fm_n14,7.0
fm_n14,fm_m2,7.0
fm_r1,fm_n17,18.5
fm_n17,fm_r1,18.5
fm_r1,fm_n18,9.5
fm_n18,fm_r1,9.5
fm_r1,fm_n19,13.5
fm_n19,fm_r1,13.5
fm_r1,fm_n20,22.5
fm_n20,fm_r1,22.5
fm_r3,fm_n24,12.0
fm_n24,fm_r3,12.0
fm_r4,fm_n16,7.5
fm_n16,fm_r4,7.5
fm_r4,fm_n25,7.5
fm_n25,fm_r4,7.5
fm_n06,fm_n07,12.0
fm_n07,fm_n06,12.0
fm_n04,fm_n05,16.0
fm_n05,fm_n04,16.0
fm_n15,fm_n16,9.0
fm_n16,fm_n15,9.0
fm_n23,fm_n22,9.0
fm_n22,fm_n23,9.0
fm_n22,fm_n21,9.0
fm_n21,fm_n22,9.0
fm_n11,fm_n13,10.0
fm_n13,fm_n11,10.0
fm_n08,fm_r1,19.5
fm_r1,fm_n08,19.5
fm_l2_0,fm_i1,11.0
fm_i1,fm_l2_0,11.0
fm_l2_0,fm_n09,9.5
fm_n09,fm_l2_0,9.5
fm_l2_1,fm_i2,7.0
fm_i2,fm_l2_1,7.0
fm_l2_1,fm_n05,15.5
fm_n05,fm_l2_1,15.5
fm_i4,fm_r2,11.0
fm_r2,fm_i4,11.0
fm_r2,fm_n21,11.0
fm_n21,fm_r2,11.0
fm_i3,fm_m3,13.5
fm_m3,fm_i3,13.5
fm_m3,fm_n14,7.0
fm_n14,fm_m3,7.0
