from,to,cost
e_i1,e_l1,10.0
e_l1,e_i1,10.0
e_i1,e_n04,14.5
e_n04,e_i1,14.5
e_i1,e_l2,11.0
e_l2,e_i1,11.0
e_i1,e_m1,13.5
e_m1,e_i1,13.5
e_i2,e_l2,11.0
e_l2,e_i2,11.0
e_i2,e_m2,13.5
e_m2,e_i2,13.5
e_i3,e_m3,13.5
e_m3,e_i3,13.5
e_i4,e_m1,13.5
e_m1,e_i4,13.5
e_i4,e_r2,11.0
e_r2,e_i4,11.0
e_i5,e_m2,13.5
e_m2,e_i5,13.5
e_i5,e_r2,11.0
e_r2,e_i5,11.0
e_i5,e_n23,10.0
e_n23,e_i5,10.0
e_i5,e_r3,7.0
e_r3,e_i5,7.0
e_i6,e_m3,13.5
e_m3,e_i6,13.5
e_i6,e_r3,7.0
e_r3,e_i6,7.0
e_i6,e_r4,6.5
e_r4,e_i6,6.5
e_l1,e_n01,13.0
e_n01,e_l1,13.0
e_l1,e_n02,8.0
e_n02,e_l1,8.0
e_l1,e_n03,11.5
e_n03,e_l1,11.5
e_l1,e_n08,15.0
e_n08,e_l1,15.0
e_l2,e_n05,19.5
e_n05,e_l2,19.5
e_l2,e_n09,9.5
e_n09,e_l2,9.5
e_m1,e_n10,8.5
e_n10,e_m1,8.5
e_m1,e_n11,12.5
e_n11,e_m1,12.5
e_m2,e_n12,12.5
e_n12,e_m2,12.5
e_m2,e_n13,12.5
e_n13,e_m2,12.5
e_m2,e_n14,7.0
e_n14,e_m2,7.0
e_m3,e_n14,7.0
e_n14,e_m3,7.0
e_m3,e_n15,9.5
e_n15,e_m3,9.5
e_r2,e_n21,11.0
e_n21,e_r2,11.0
e_r2,e_n22,12.0
e_n22,e_r2,12.0
e_r3,e_n24,12.0
e_n24,e_r3,12.0
e_r4,e_n16,7.5
e_n16,e_r4,7.5
e_r4,e_n25,7.5
e_n25,e_r4,7.5
e_n06,e_n07,12.0
e_n07,e_n06,12.0
e_n21,e_n20,9.0
e_n20,e_n21,9.0
e_n20,e_n19,9.0
e_n19,e_n20,9.0
e_n19,e_n18,9.0
e_n18,e_n19,9.0
e_n10,e_n12,12.0
e_n12,e_n10,12.0
e_i3,e_l3,7.0
e_l3,e_i3,7.0
e_l3,e_n06,13.0
e_n06,e_l3,13.0
e_r1,e_n08,19.5
e_n08,e_r1,19.5
e_r1,e_n17,18.5
e_n17,e_r1,18.5
e_r1,e_n18,9.5
e_n18,e_r1,9.5
e_r1,e_n19,13.5
e_n19,e_r1,13.5
e_r1,e_n20,22.5
e_n20,e_r1,22.5
m_i1,m_l1,10.0
m_l1,m_i1,10.0
m_i1,m_n04,14.5
m_n04,m_i1,14.5
m_i1,m_m1,13.5
m_m1,m_i1,13.5
m_i2,m_l3,7.0
m_l3,m_i2,7.0
m_i2,m_m2,13.5
m_m2,m_i2,13.5
m_i3,m_l3,7.0
m_l3,m_i3,7.0
m_i4,m_m1,13.5
m_m1,m_i4,13.5
m_i4,m_r1,17.5
m_r1,m_i4,17.5
m_i5,m_m2,13.5
m_m2,m_i5,13.5
m_i5,m_n23,10.0
m_n23,m_i5,10.0
m_i5,m_r3,7.0
m_r3,m_i5,7.0
m_i6,m_r3,7.0
m_r3,m_i6,7.0
m_i6,m_r4,6.5
m_r4,m_i6,6.5
m_l1,m_n01,13.0
m_n01,m_l1,13.0
m_l1,m_n02,8.0
m_n02,m_l1,8.0
m_l1,m_n03,11.5
m_n03,m_l1,11.5
m_l3,m_n06,13.0
m_n06,m_l3,13.0
m_m1,m_n10,8.5
m_n10,m_m1,8.5
m_m1,m_n11,12.5
m_n11,m_m1,12.5
m_m2,m_n12,12.5
m_n12,m_m2,12.5
m_m2,m_n13,12.5
m_n13,m_m2,12.5
m_m2,m_n14,7.0
m_n14,m_m2,7.0
m_r1,m_n17,18.5
m_n17,m_r1,18.5
m_r1,m_n18,9.5
m_n18,m_r1,9.5
m_r1,m_n19,13.5
m_n19,m_r1,13.5
m_r1,m_n20,22.5
m_n20,m_r1,22.5
m_r3,m_n24,12.0
m_n24,m_r3,12.0
m_r4,m_n16,7.5
m_n16,m_r4,7.5
m_r4,m_n25,7.5
m_n25,m_r4,7.5
m_n06,m_n07,12.0
m_n07,m_n06,12.0
m_n04,m_n05,16.0
m_n05,m_n04,16.0
m_n15,m_n16,9.0
m_n16,m_n15,9.0
m_n23,m_n22,9.0
m_n22,m_n23,9.0
m_n22,m_n21,9.0
m_n21,m_n22,9.0
m_n11,m_n13,10.0
m_n13,m_n11,10.0
m_n08,m_r1,19.5
m_r1,m_n08,19.5
m_l2_0,m_i1,11.0
m_i1,m_l2_0,11.0
m_l2_0,m_n09,9.5
m_n09,m_l2_0,9.5
m_l2_1,m_i2,7.0
m_i2,m_l2_1,7.0
m_l2_1,m_n05,15.5
m_n05,m_l2_1,15.5
m_i4,m_r2,11.0
m_r2,m_i4,11.0
m_r2,m_n21,11.0
m_n21,m_r2,11.0
m_i3,m_m3,13.5
m_m3,m_i3,13.5
m_m3,m_n14,7.0
m_n14,m_m3,7.0
