sensor_id,latitude,longitude
e_i1,12,35
e_i2,12,57
e_i3,12,71
e_i4,39,35
e_i5,39,57
e_i6,39,71
e_l1,12,25
e_l2,12,46
e_l3,12,64
e_r1,39,17.5
e_r2,39,46
e_r3,39,64
e_r4,39,77.5
e_m1,25.5,35
e_m2,25.5,57
e_m3,25.5,71
e_n01,6,18
e_n02,5.5,23.5
e_n03,5.5,30
e_n04,5.5,43
e_n05,5.5,59
e_n06,9.5,74.5
e_n07,9.5,86.5
e_n08,25.5,23.5
e_n09,16.5,41
e_n10,23,41
e_n11,32,41
e_n12,20,50
e_n13,31,50
e_n14,25.5,64
e_n15,23,78
e_n16,32,78
e_n17,46,6
e_n18,46,15
e_n19,46,24
e_n20,46,33
e_n21,46,42
e_n22,46,51
e_n23,46,60
e_n24,46,69
e_n25,46,78
m_i1,112,135
m_i2,112,157
m_i3,112,171
m_i4,139,135
m_i5,139,157
m_i6,139,171
m_l1,112,125
m_l2_0,112,142
m_l2_1,112,150
m_l3,112,164
m_r1,139,117.5
m_r2,139,146
m_r3,139,164
m_r4,139,177.5
m_m1,125.5,135
m_m2,125.5,157
m_m3,125.5,171
m_n01,106,118
m_n02,105.5,123.5
m_n03,105.5,130
m_n04,105.5,143
m_n05,105.5,159
m_n06,109.5,174.5
m_n07,109.5,186.5
m_n08,125.5,123.5
m_n09,116.5,141
m_n10,123,141
m_n11,132,141
m_n12,120,150
m_n13,131,150
m_n14,125.5,164
m_n15,123,178
m_n16,132,178
m_n17,146,106
m_n18,146,115
m_n19,146,124
m_n20,146,133
m_n21,146,142
m_n22,146,151
m_n23,146,160
m_n24,146,169
m_n25,146,178
