from,to,cost
h_i1,h_l1,10.0
h_l1,h_i1,10.0
h_i1,h_n04,14.5
h_n04,h_i1,14.5
h_i1,h_l2,11.0
h_l2,h_i1,11.0
h_i2,h_l2,11.0
h_l2,h_i2,11.0
h_i3,h_m3,13.5
h_m3,h_i3,13.5
h_i4,h_r1,17.5
h_r1,h_i4,17.5
h_i5,h_n23,10.0
h_n23,h_i5,10.0
h_i5,h_r3,7.0
h_r3,h_i5,7.0
h_l1,h_n01,13.0
h_n01,h_l1,13.0
h_l1,h_n02,8.0
h_n02,h_l1,8.0
h_l1,h_n03,11.5
h_n03,h_l1,11.5
h_l2,h_n05,19.5
h_n05,h_l2,19.5
h_l2,h_n09,9.5
h_n09,h_l2,9.5
h_m3,h_n14,7.0
h_n14,h_m3,7.0
h_m3,h_n15,9.5
h_n15,h_m3,9.5
h_r1,h_n17,18.5
h_n17,h_r1,18.5
h_r1,h_n18,9.5
h_n18,h_r1,9.5
h_r1,h_n19,13.5
h_n19,h_r1,13.5
h_r1,h_n20,22.5
h_n20,h_r1,22.5
h_r3,h_n24,12.0
h_n24,h_r3,12.0
h_n06,h_n07,12.0
h_n07,h_n06,12.0
h_n04,h_n05,16.0
h_n05,h_n04,16.0
h_n05,h_n06,19.5
h_n06,h_n05,19.5
h_n06,h_n15,17.0
h_n15,h_n06,17.0
h_n15,h_n06,17.0
h_n06,h_n15,17.0
h_n25,h_n24,9.0
h_n24,h_n25,9.0
h_n22,h_n21,9.0
h_n21,h_n22,9.0
h_n19,h_n18,9.0
h_n18,h_n19,9.0
h_n10,h_n12,12.0
h_n12,h_n10,12.0
h_n10,h_n11,9.0
h_n11,h_n10,9.0
h_n12,h_n10,12.0
h_n10,h_n12,12.0
h_n08,h_l1,15.0
h_l1,h_n08,15.0
h_n08,h_m1,11.5
h_m1,h_n08,11.5
h_i6,h_m3,13.5
h_m3,h_i6,13.5
h_i6,h_r3,7.0
h_r3,h_i6,7.0
h_i6,h_r4,6.5
h_r4,h_i6,6.5
h_i3,h_l3,7.0
h_l3,h_i3,7.0
h_l3,h_n06,13.0
h_n06,h_l3,13.0
h_r2_0,h_i4,11.0
h_i4,h_r2_0,11.0
h_r2_0,h_n21,11.0
h_n21,h_r2_0,11.0
h_r2_1,h_i5,7.0
h_i5,h_r2_1,7.0
h_r2_1,h_n22,8.0
h_n22,h_r2_1,8.0
h_r2_1,h_n11,16.0
h_n11,h_r2_1,16.0
h_i6,h_r4,6.5
h_r4,h_i6,6.5
h_r4,h_n16,7.5
h_n16,h_r4,7.5
h_r4,h_n25,7.5
h_n25,h_r4,7.5
h_n16,h_r4,7.5
h_r4,h_n16,7.5
h_r4,h_n25,7.5
h_n25,h_r4,7.5
h_i1,h_m1,13.5
h_m1,h_i1,13.5
h_i4,h_m1,13.5
h_m1,h_i4,13.5
h_m1,h_n10,8.5
h_n10,h_m1,8.5
h_n08,h_m1,11.5
h_m1,h_n08,11.5
h_i2,h_m2,13.5
h_m2,h_i2,13.5
h_m2,h_n12,12.5
h_n12,h_m2,12.5
h_m2,h_n13,12.5
h_n13,h_m2,12.5
h_m2,h_n14,7.0
h_n14,h_m2,7.0
m_i1,m_l1,10.0
m_l1,m_i1,10.0
m_i1,m_n04,14.5
m_n04,m_i1,14.5
m_i1,m_m1,13.5
m_m1,m_i1,13.5
m_i2,m_l3,7.0
m_l3,m_i2,7.0
m_i2,m_m2,13.5
m_m2,m_i2,13.5
m_i3,m_l3,7.0
m_l3,m_i3,7.0
m_i4,m_m1,13.5
m_m1,m_i4,13.5
m_i4,m_r1,17.5
m_r1,m_i4,17.5
m_i5,m_m2,13.5
m_m2,m_i5,13.5
m_i5,m_n23,10.0
m_n23,m_i5,10.0
m_i5,m_r3,7.0
m_r3,m_i5,7.0
m_i6,m_r3,7.0
m_r3,m_i6,7.0
m_i6,m_r4,6.5
m_r4,m_i6,6.5
m_l1,m_n01,13.0
m_n01,m_l1,13.0
m_l1,m_n02,8.0
m_n02,m_l1,8.0
m_l1,m_n03,11.5
m_n03,m_l1,11.5
m_l3,m_n06,13.0
m_n06,m_l3,13.0
m_m1,m_n10,8.5
m_n10,m_m1,8.5
m_m1,m_n11,12.5
m_n11,m_m1,12.5
m_m2,m_n12,12.5
m_n12,m_m2,12.5
m_m2,m_n13,12.5
m_n13,m_m2,12.5
m_m2,m_n14,7.0
m_n14,m_m2,7.0
m_r1,m_n17,18.5
m_n17,m_r1,18.5
m_r1,m_n18,9.5
m_n18,m_r1,9.5
m_r1,m_n19,13.5
m_n19,m_r1,13.5
m_r1,m_n20,22.5
m_n20,m_r1,22.5
m_r3,m_n24,12.0
m_n24,m_r3,12.0
m_r4,m_n16,7.5
m_n16,m_r4,7.5
m_r4,m_n25,7.5
m_n25,m_r4,7.5
m_n06,m_n07,12.0
m_n07,m_n06,12.0
m_n04,m_n05,16.0
m_n05,m_n04,16.0
m_n15,m_n16,9.0
m_n16,m_n15,9.0
m_n23,m_n22,9.0
m_n22,m_n23,9.0
m_n22,m_n21,9.0
m_n21,m_n22,9.0
m_n11,m_n13,10.0
m_n13,m_n11,10.0
m_n08,m_r1,19.5
m_r1,m_n08,19.5
m_l2_0,m_i1,11.0
m_i1,m_l2_0,11.0
m_l2_0,m_n09,9.5
m_n09,m_l2_0,9.5
m_l2_1,m_i2,7.0
m_i2,m_l2_1,7.0
m_l2_1,m_n05,15.5
m_n05,m_l2_1,15.5
m_i4,m_r2,11.0
m_r2,m_i4,11.0
m_r2,m_n21,11.0
m_n21,m_r2,11.0
m_i3,m_m3,13.5
m_m3,m_i3,13.5
m_m3,m_n14,7.0
m_n14,m_m3,7.0
