sensor_id,latitude,longitude
fe_i1,12,35
fe_i2,12,57
fe_i3,12,71
fe_i4,39,35
fe_i5,39,57
fe_i6,39,71
fe_l1,12,25
fe_l2,12,46
fe_l3,12,64
fe_r1,39,17.5
fe_r2,39,46
fe_r3,39,64
fe_r4,39,77.5
fe_m1,25.5,35
fe_m2,25.5,57
fe_m3,25.5,71
fe_n01,6,18
fe_n02,5.5,23.5
fe_n03,5.5,30
fe_n04,5.5,43
fe_n05,5.5,59
fe_n06,9.5,74.5
fe_n07,9.5,86.5
fe_n08,25.5,23.5
fe_n09,16.5,41
fe_n10,23,41
fe_n11,32,41
fe_n12,20,50
fe_n13,31,50
fe_n14,25.5,64
fe_n15,23,78
fe_n16,32,78
fe_n17,46,6
fe_n18,46,15
fe_n19,46,24
fe_n20,46,33
fe_n21,46,42
fe_n22,46,51
fe_n23,46,60
fe_n24,46,69
fe_n25,46,78
s0_CHL,125,109
s0_CH,125,131
s0_LH,105,120
s0_RH,145,120
s0_E1,131,109
s0_E2,131,106
s0_MR,114,111
s0_WR,114,106
s0_J,120,119
s0_201,111,123
s0_203,111,129
s0_205,111,135
s0_207,111,142
s0_208,120,131
s0_210,120,143
s0_209,133,121
s0_211,133,127
s0_213,133,134
s0_215,133,142
s0_216,139,125
s0_218,139,135
s0_220,139,142
