sensor_id,latitude,longitude
fh_i1,12,35
fh_i2,12,57
fh_i3,12,71
fh_i4,39,35
fh_i5,39,57
fh_i6,39,71
fh_l1,12,25
fh_l2,12,46
fh_l3,12,64
fh_r1,39,17.5
fh_r2_0,39,42
fh_r2_1,39,50
fh_r3,39,64
fh_r4,39,77.5
fh_m1,25.5,35
fh_m2,25.5,57
fh_m3,25.5,71
fh_n01,6,18
fh_n02,5.5,23.5
fh_n03,5.5,30
fh_n04,5.5,43
fh_n05,5.5,59
fh_n06,9.5,74.5
fh_n07,9.5,86.5
fh_n08,25.5,23.5
fh_n09,16.5,41
fh_n10,23,41
fh_n11,32,41
fh_n12,20,50
fh_n13,31,50
fh_n14,25.5,64
fh_n15,23,78
fh_n16,32,78
fh_n17,46,6
fh_n18,46,15
fh_n19,46,24
fh_n20,46,33
fh_n21,46,42
fh_n22,46,51
fh_n23,46,60
fh_n24,46,69
fh_n25,46,78
s0_CHL,125,109
s0_CH,125,131
s0_LH,105,120
s0_RH,145,120
s0_E1,131,109
s0_E2,131,106
s0_MR,114,111
s0_WR,114,106
s0_J,120,119
s0_201,111,123
s0_203,111,129
s0_205,111,135
s0_207,111,142
s0_208,120,131
s0_210,120,143
s0_209,133,121
s0_211,133,127
s0_213,133,134
s0_215,133,142
s0_216,139,125
s0_218,139,135
s0_220,139,142
