sensor_id,latitude,longitude
fm_i1,12,35
fm_i2,12,57
fm_i3,12,71
fm_i4,39,35
fm_i5,39,57
fm_i6,39,71
fm_l1,12,25
fm_l2_0,12,42
fm_l2_1,12,50
fm_l3,12,64
fm_r1,39,17.5
fm_r2,39,46
fm_r3,39,64
fm_r4,39,77.5
fm_m1,25.5,35
fm_m2,25.5,57
fm_m3,25.5,71
fm_n01,6,18
fm_n02,5.5,23.5
fm_n03,5.5,30
fm_n04,5.5,43
fm_n05,5.5,59
fm_n06,9.5,74.5
fm_n07,9.5,86.5
fm_n08,25.5,23.5
fm_n09,16.5,41
fm_n10,23,41
fm_n11,32,41
fm_n12,20,50
fm_n13,31,50
fm_n14,25.5,64
fm_n15,23,78
fm_n16,32,78
fm_n17,46,6
fm_n18,46,15
fm_n19,46,24
fm_n20,46,33
fm_n21,46,42
fm_n22,46,51
fm_n23,46,60
fm_n24,46,69
fm_n25,46,78
s0_CHL,125,109
s0_CH,125,131
s0_LH,105,120
s0_RH,145,120
s0_E1,131,109
s0_E2,131,106
s0_MR,114,111
s0_WR,114,106
s0_J,120,119
s0_201,111,123
s0_203,111,129
s0_205,111,135
s0_207,111,142
s0_208,120,131
s0_210,120,143
s0_209,133,121
s0_211,133,127
s0_213,133,134
s0_215,133,142
s0_216,139,125
s0_218,139,135
s0_220,139,142
